1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,1,1,1,1,1
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
256,256,256,256,256,256
